Наименование,                                          Модель,                        Цена,  Количество, Ссылка
Шаговые двигатели для шасси,                           NEMA 23 OK57STH76-4204A,       ₽3000, 2,          https://www.chipdip.ru/product0/8004056927
Драйвера шагового двигателя для шасси,                 TB6600,                        ₽460,  2,          https://amperkot.ru/products/drayver_shagovogo_dvigatelya_tb6600_novaya_versiya_42_57_86_40a_42vdc/24339330.html
Шаговый двигатель для бокового перемещения контейнера, NEMA 17 MT-1703HS120A,         ₽2120, 1,          https://www.chipdip.ru/product/1703hs120a
Драйвер шагового двигателя для контейнера,             A4988,                         ₽120,  1,          https://technic3d.ru/drajver-shagovogo-dvigatelya-a4988
Драйвера DC-двигателей,                                TB6612FNG,                     ₽219,  3,          https://www.арду.рф/product/1391
Одноплатный компьютер Raspberry Pi с WiFi,             Raspberry Pi 3B,               ₽7199, 2,          https://www.dns-shop.ru/product/f7f069de01303330/mikrokomputer-raspberry-pi-3-model-b/
Карта памяти для Raspberry Pi,                         Kingston Industrial microSDHC, ₽1999, 2,          https://www.dns-shop.ru/product/268196544db2ed20/karta-pamati-kingston-industrial-microsdhc-16-gb-sdcit216gb/
Камера для зоны ТО,                                    Genius Web Cam Q-CAM 6000,     ₽3499, 2,          https://www.dns-shop.ru/product/8ce280a5d7fe1b80/veb-kamera-genius-web-cam-q-cam-6000/opinion/
Гладкая напрявляющая 8x500mm,                          -,                             ₽399,  10,         https://www.арду.рф/product/1722
Линейный подшипник,                                    -,                             ₽69,   10,         https://www.арду.рф/product/1495
Гайка для ходового винта 8 мм,                         -,                             ₽99,   5,          https://www.арду.рф/product/1552
Ходовой винт 8x500mm,                                  -,                             ₽549,  5,          https://www.арду.рф/product/1576
